1|KS D 8522|고순도 알루미나 분말 소재의 시험방법|2019-06-20|2019-0120|기계융합산업표준과|윤승환|
467|KS L 9010|규석 벽돌 제조용 생석회 및 소석회 (폐지)|2013-12-27|2013-0063|바이오화학서비스표준과|지민호|
468|KS L 9011|규산 칼슘 제조용 생석회 및 소석회 (폐지)|2013-12-27|2013-0063|바이오화학서비스표준과|지민호|
469|KS L 9012|수처리용 생석회 및 소석회|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
470|KS L 9013|석고 콘크리트|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
471|KS L 9014|석고 플라스터용 무기질 골재|2021-11-23|2021-0537|기계융합산업표준과|정현우|
472|KS L 9015|석회 및 석회 제품의 시료 채취 검사 포장 및 표시 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
473|KS L 9016|보온재의 열전도율 측정 방법|2017-12-01|2017-0560|바이오화학서비스표준과|박현영|
474|KS L 9100|석면 보온재 (폐지)|1991-08-07||바이오화학서비스표준과|지민호|
475|KS L 9101|규산 칼슘 보온재 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
476|KS L 9102|인조 광물섬유 단열재|2019-12-12|2019-0468|바이오화학서비스표준과|박현영|
477|KS L 9103|자소식 전극용 페이스트의 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
478|KS L 9104|세라믹 섬유 블랭킷|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
479|KS L 9105|미네랄울 흡음 천장판|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
480|KS L 9106|미네랄울 판상 단열재|2021-03-31|2021-0074|바이오화학서비스표준과|지민호|
481|KS L 9107|솔라 시뮬레이터에 의한 태양열 취득률 측정 시험방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
482|KS L 9201|옹기|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
483|KS L 9202|사기 사발 및 대접|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
484|KS L 9203|방수 석고 배킹 보드|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
485|KS L 9204|석고콘크리트의 물리적 특성 시험 방법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
486|KS L 9501|공업용 석회|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
487|KS L 9700|석고 및 석회의 표준용어|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
488|KS L ISO10058-1|마그네사이트 및 백운석 내화물의 화학 분석 - 제1부: 기구, 시약, 용해 및 무게법에 의한 산화규소 정량|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
489|KS L ISO10058-2|마그네사이트 및 백운석 내화물의 화학 분석 - 제2부: 습식 화학 분석|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
490|KS L ISO10058-3|마그네사이트 및 백운석 내화물의 화학 분석 - 제3부: 불꽃 원자 흡수 분광법 및 유도결합 플라스마 방출 분광법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
491|KS L ISO10059-2|치밀질 정형 내화물 ─ 상온 압축 강도 측정 방법 ─ 패킹 상태에서의 시험|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
492|KS L ISO1042|실험실용 유리제품 - 원마크 용량 플라스크|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
493|KS L ISO10545-15|도자기 및 옹기 표면으로부터 용출되는 납, 카드뮴 및 비소량의 측정방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
494|KS L ISO10545-9|세라믹 타일-제 9부: 열 충격 저항성 측정|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
495|KS L ISO10676|파인 세라믹스 ― 활성산소의 생성 능력 측정에 의한 광촉매 소재의 수질 정화 성능 시험 방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
496|KS L ISO10678|파인 세라믹스 - 수용성 미디움에서 표면의 광촉매 활성 시험 - 메틸렌 블루 분해법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
497|KS L ISO1146|내화도 시험용 표준 콘|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
498|KS L ISO12569|건물 열 성능 — 건물 내 환기 측정 — 추적 가스 희석법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
499|KS L ISO12678-1|내화 제품 ─ 내화 벽돌의 치수 및 외부 결함 측정-제1부: 치수와 도면과의 일치 여부|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
500|KS L ISO12678-2|내화 제품 ─ 내화벽돌의 치수 및 외부 결함 측정-제2부：모서리, 가장자리 및 그 밖의 표면 결함|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
501|KS L ISO13007-1|도자기질 타일 - 그라우트 및 접착제 - 제1부:접착제의 용어, 정의 및 시방서|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
502|KS L ISO13007-2|도자기질 타일 - 그라우트 및 접착제 - 제2부: 접착제 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
503|KS L ISO13007-3|도자기질 타일 - 그라우트 및 접착제 - 제3부: 그라우트의 용어, 정의 및 시방서|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
504|KS L ISO13007-4|도자기질 타일 - 그라우트 및 접착제 - 제4부: 그라우트 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
505|KS L ISO13788|건축물의 부재 및 요소 흡습성능-임계 표면습도와 내부 결로를 피하는 내부 표면온도-계산법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
506|KS L ISO14703|파인세라믹 분말의 입도분포 측정을 위한 시료준비 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
507|KS L ISO15165|파인세라믹스 - 분류|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
508|KS L ISO15635|플랩 디스크|2017-12-26|2017-0623|기계융합산업표준과|김민우|
509|KS L ISO15636|가황섬유 디스크용 백업 패드 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
510|KS L ISO15695|법랑표면의 긁힘 저항성 측정방법|2021-08-25|2021-0265|기계융합산업표준과|윤승환|
511|KS L ISO15733|파인 세라믹스 — 대기압의 상온에서 세라믹 복합재료의 기계적 속성 - 인장 특성 측정|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
512|KS L ISO16282|촘촘한 형태의 내화물 시험 방법 - 상온에서 내마모성 측정|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
513|KS L ISO17561|파인세라믹스 ─ 음파 공진에 의한 단일체 세라믹스의 실온 탄성계수 시험방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
514|KS L ISO17562|파인 세라믹스 ─ 열팽창 검출봉에 의한 단일체 세라믹스의 선열팽창 시험방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
515|KS L ISO17565|파인 세라믹스 - 단일체 세라믹스의 고온 꺾임강도 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
516|KS L ISO1769|실험실용 유리제품 - 피펫 - 색 코드화|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
517|KS L ISO1772|실험실용 자기 및 실리카 도가니|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
518|KS L ISO1773|실험실 유리용기-작은 목 가열 플라스크|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
519|KS L ISO18754|파인세라믹스-파인세라믹스 소결체의 밀도 및 겉보기 기공율 시험방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
520|KS L ISO18756|파인세라믹스 - 단일체 세라믹스의 표면균열 도입법에 의한 상온파괴인성 측정방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
521|KS L ISO18757|파인세라믹스-기체 흡착 BET법에 의한 세라믹 분말의 비표면적 측정방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
522|KS L ISO1887|유리섬유 ─ 가연성분 함량의 측정방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
523|KS L ISO1888|유리 섬유 ─ 스테이플사 또는 필라멘트 ─ 평균 지름의 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
524|KS L ISO20502|파인 세라믹스 - 스크래치 시험에 의한 세라믹 코팅의 밀착력 측정|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
525|KS L ISO20507|파인세라믹 - 용어|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
526|KS L ISO20565-1|크로뮴계 내화물 및 원료의 화학 분석 ― 제 1부: 기구, 시약, 용해 및 질량법에 의한 산화규소 정량|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
527|KS L ISO20565-2|크로뮴계 내화물 및 원료의 화학 분석 ― 제 2부: 습식 화학 분석|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
528|KS L ISO20565-3|크로뮴계 내화물 및 원료의 화학 분석 ― 제 3부: 원자 흡수 분광법 및 유도결합 플라스마 방출 분광법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
529|KS L ISO20808|파인 세라믹스 — 단일체 세라믹스의 볼ㆍ온ㆍ디스크법에 의한 마모 시험방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
530|KS L ISO21068-1|탄화규소 함유 원료 및 내화물의 화학 분석 - 제 1부: 일반 사항 및 시료 준비|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
531|KS L ISO21068-2|탄화규소 함유 원료 및 내화물의 화학 분석 - 제 2부: 강열 감량, 총 탄소, 유리 탄소, 탄화규소, 총 실리카, 유리 실리카, 총 규소 및 유리 규소의 정량|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
532|KS L ISO21068-3|탄화규소 함유 원료 및 내화물의 화학 분석 - 제 3부: 질소, 산소, 금속 및 산화물 정량|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
533|KS L ISO21078-1|내화물 중의 산화붕소(III) 정량 - 제 1부: 세라믹스, 유리 및 유약의 산화물에서 총 산화붕소(III) 정량|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
534|KS L ISO21078-2|내화물 중의 산화붕소(III) 정량 - 제 2부: 바인더 성분의 산화붕소(III) 정량을 위한 산 추출법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
535|KS L ISO21079-1|알루미나, 지르코니아 및 실리카를 함유한 내화물 화학 분석 ― 지르코니아 5 % ~ 45 %를 함유한 내화물 ― 제 1부: 기구, 시약 및 용해|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
536|KS L ISO21079-2|알루미나, 지르코니아 및 실리카를 함유한 내화물 화학 분석 ― 지르코니아 5 % ~ 45 %를 함유한 내화물 ― 제 2부: 습식 화학 분석|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
537|KS L ISO21079-3|알루미나, 지르코니아 및 실리카를 함유한 내화물 화학 분석 ― 지르코니아 5 % ~ 45 %를 함유한 내화물 ― 제 3부: 원자 흡수 분광법 및 유도결합 플라스마 방출 분광법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
538|KS L ISO21587-1|알루미노실리케이트 내화물의 화학 분석 ― 제 1부: 기구, 시약, 용해 및 무게법에 의한 산화규소 정량|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
539|KS L ISO21587-2|알루미노실리케이트 내화물의 화학 분석 ― 제 2부: 습식 화학 분석|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
540|KS L ISO21587-3|알루미노실리케이트 내화물의 화학 분석 - 제 3부: 유도결합 플라스마 방출 분광법 및 원자 흡수 분광법|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
541|KS L ISO21948|코팅 연삭재 - 평 시트|2020-12-29|2020-0572|기계융합산업표준과|김민우|
542|KS L ISO21949|코팅연삭재-분말 배출용 구멍이 있는 평시트 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|양승배|
543|KS L ISO21951|코팅 연삭재-먼지배출구멍이 있는 평디스크 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|양승배|
544|KS L ISO22197-1|파인세라믹스 ─ 반도성 광촉매 재료의 공기 정화 성능 측정방법-제1부：산화질소 제거|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
545|KS L ISO22602|파인세라믹스 - 롤링 베어링 볼용 질화 규소|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
546|KS L ISO24235|파인세라믹스 ─ 레이저 산란법에 의한 세라믹 분말의 입자크기 분포 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
547|KS L ISO2558|플라스틱 강화용 유리 섬유 매트에 포함된 바인더의 스티렌 용해시간 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
548|KS L ISO26423|파인세라믹스 - 크레이터연삭 방법에 의한 코팅 두께 측정|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
549|KS L ISO26424|파인 세라믹스 - 마이크로 스케일 마모 시험에 의한 내마모성 측정|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
550|KS L ISO26845|내화물의 화학 분석 - 습식 화학 분석, 원자 흡수 분광법 및 유도결합 플라스마 방출 분광법을 위한 일반 요구 사항|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
551|KS L ISO27447|파인세라믹스 - 반도체 광촉매 물질의 항균 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
552|KS L ISO27448|파인세라믹스 - 반도체 광촉매 물질의 자기정화 성능 시험 방법 - 물접촉각 측정|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
553|KS L ISO2976|코팅된 연마재 ─ 연마벨트 ─ 치수 선정|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
554|KS L ISO3341|유리 섬유 ─ 유리실 ─ 파단 하중 및 신장률 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
555|KS L ISO3342|유리 섬유 ─ 매트 ─ 인장 파단 하중의 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
556|KS L ISO3343|강화실 ─ 꼬임 균형 지수 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
557|KS L ISO3374|강화제품 ─ 매트와 직물 ─ 단위면적당 질량의 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
558|KS L ISO3375|유리 섬유 ─ 로빙 강성도의 측정방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
559|KS L ISO3819|실험실용 유리제품 - 비커|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
560|KS L ISO383|실험실용 유리기구 - 호환성 코니컬 갈아 맞춤 이음부|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
561|KS L ISO384|실험실용 유리제품 - 부피측정용 유리제품의 설계 및 제작의 원칙|2021-03-31|2021-0075|바이오화학서비스표준과|지민호|
562|KS L ISO385-1|실험실용 유리제품 - 뷰렛 - 제1부 : 일반적 요구사항|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
563|KS L ISO385-2|실험실용 유리제품 - 뷰렛 - 제2부 : 대기시간이 없도록 규정된 뷰렛|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
564|KS L ISO385-3|실험실용 유리제품 - 뷰렛 - 제3부 : 대기시간이 30초인 뷰렛|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
565|KS L ISO4602|강화실 ─ 유리직물 ─ 경사 및 위사의 단위길이당 유리실 수의 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
566|KS L ISO4603|유리 섬유 ─ 유리 직물 ─ 두께의 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
567|KS L ISO4604|강화직물 ─ 관성 휨 강성의 측정 ─ 고정각도 굴곡시험기에 의한 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
568|KS L ISO4605|유리섬유 ─ 유리직물 ─ 단위면적당 질량의 측정 방법 (폐지)|2018-11-20|2018-0434|바이오화학서비스표준과|지민호|
569|KS L ISO4606|유리섬유 ─ 유리직물 ─ 스트립법에 의한 인장파단하중 및 파단시의 신장률|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
570|KS L ISO4787|실험실용 유리제품 - 부피측정용 유리제품 - 사용방법 및 용량시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
571|KS L ISO4788|실험실용 유리제품 - 눈금있는 측정용 실린더|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
572|KS L ISO4796-1|실험실 유리기구 — 병 — 제1부: 나사 목 병|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
573|KS L ISO4796-2|실험실용 유리용기-병-제2부: 삼각 목 병|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
574|KS L ISO4796-3|실험실용 유리용기-병-제3부: 아스피레이터 병|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
575|KS L ISO4797|실험실용 유리제품 - 원추형 갈아맞춤 이음부가 있는 플라스크|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
576|KS L ISO4799|실험실용 유리제품-응축기|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
577|KS L ISO4800|실험실용 유리제품-분액 깔대기와 적하 깔대기|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
578|KS L ISO4900|유리섬유 ─ 매트 및 직물 ─ 접촉성형성의 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
579|KS L ISO5017|치밀질 정형 내화 제품의 부피 밀도, 겉보기 기공률 및 참 기공률 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
580|KS L ISO5019-1|내화벽돌-치수-제1부: 직육면체형 벽돌|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
581|KS L ISO5019-2|내화벽돌-치수-제2부: 아치형 벽돌|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
582|KS L ISO5019-3|내화벽돌--치수--제3부: 축열실용 직육면체 체커벽돌|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
583|KS L ISO5019-4|내화벽돌--치수--제4부: 전기로 천정용 벽돌|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
584|KS L ISO5019-5|내화벽돌-치수-제5부: 아치받침벽돌|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
585|KS L ISO5019-6|내화벽돌-치수--제6부: 전로용 염기성벽돌|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
586|KS L ISO5025|강화 제품 — 유리 직물 — 너비 및 길이의 측정방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
587|KS L ISO525|연마숫돌 - 일반 요구사항|2020-12-29|2020-0572|기계융합산업표준과|김민우|
588|KS L ISO5417|로타리킬른용 내화 벽돌의 모양 및 치수|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
589|KS L ISO603-1|연마숫돌 - 치수 - 1부: 센터지지 외부 원통 연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
590|KS L ISO603-10|연마숫돌 - 치수 - 10부: 호닝가공용 및 수퍼피니싱용 연삭숫돌|2020-12-29|2020-0572|기계융합산업표준과|김민우|
591|KS L ISO603-11|연마 숫돌－치수－제11부：핸드 피니싱 숫돌|2020-12-29|2020-0572|기계융합산업표준과|김민우|
592|KS L ISO603-12|연마숫돌 - 치수 - 12부 : 스트레이트 그라인더에서의 마디제거 및 주물면 연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
593|KS L ISO603-13|연마숫돌 - 치수 - 13부: 버티컬 그라인더에서의 마디제거 및 주물면 연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
594|KS L ISO603-14|연마숫돌 - 치수 - 14부:앵글 그라인더에서 마디제거 및 주물면 연삭용 연삭 및 흠제거용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
595|KS L ISO603-15|연마숫돌 - 치수 - 15부: 고정 또는 이동형 절단기에서의 절단용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
596|KS L ISO603-16|연마숫돌 - 치수 - 16부:수지식 전동공구에서 절단용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
597|KS L ISO603-2|연마숫돌 - 치수 - 2부: 센터리스 외부 원통 연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
598|KS L ISO603-3|연마숫돌 - 치수 - 3부: 내부 원통 연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
599|KS L ISO603-4|연마숫돌 - 치수 - 4부: 평면 및 외주연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
600|KS L ISO603-5|연마숫돌 - 치수 - 5부: 평면 및 정면연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
601|KS L ISO603-6|연마숫돌 - 치수 - 6부: 공구연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
602|KS L ISO603-7|연마숫돌 - 치수 - 7부: 수동 조작 연삭용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
603|KS L ISO603-8|연마숫돌 - 치수 - 8부: 디버링, 주물면 연삭 및 흠제거용 연삭숫돌|2019-12-13|2019-0466|기계융합산업표준과|김민우|
604|KS L ISO603-9|연마숫돌 - 치수 - 9부: 고압 연삭용 연삭숫돌|2020-12-29|2020-0572|기계융합산업표준과|김민우|
605|KS L ISO6103|연삭 숫돌의 정적 평형 시험 방법|2017-12-26|2017-0623|기계융합산업표준과|김민우|
606|KS L ISO6104|초연마제품 - 다이아몬드 또는 CBN (입방정질화붕소) 회전 연삭공구 -개관, 호칭 및 다국어 명명법 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
607|KS L ISO6344-1|코팅연마재 - 결정입도분석 - 1부: 결정입도분포시험 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|양승배|
608|KS L ISO648|실험실용 유리제품 - 원 마크 피펫|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
609|KS L ISO679|시멘트의 강도 시험 방법|2021-11-23|2021-0538|기계융합산업표준과|정현우|
610|KS L ISO719|유리-유리입자의 98℃ 가수분해 저항성-시험방법 및 분류|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
611|KS L ISO7458|탄산 음료용 유리병의 내부 내압력 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
612|KS L ISO7459|유리용기 - 열충격 저항성 및 내열충격 - 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
613|KS L ISO7884-1|유리 ─ 점도 및 점성 특성점-제1부 : 점도 및 점성 특성점 측정원리|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
614|KS L ISO7884-2|유리 ─ 점도 및 점성 특성점-제2부 : 회전점도계에 의한 점성 측정 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
615|KS L ISO7884-3|유리 ─ 점도 및 점성 특성점-제3부: 섬유신장점도계에 의한 점성 측정 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
616|KS L ISO7884-4|유리 ─ 점도 및 점성 특성점-제4부: 빔굽힘에 의한 점성 측정 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
617|KS L ISO7884-5|유리 ─ 점도 및 점성 특성점-제5부: 침강봉점도계에 의한 유리의 작업성 측정 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
618|KS L ISO7884-6|유리-점도 및 점성 특성점-제6부:연화점 측정방법|2019-12-18|2019-0483|바이오화학서비스표준과|지민호|
619|KS L ISO7884-7|유리-점도 및 점성 특성점-제7부:빔 굽힘을 이용한 유리의 서냉점 및 스트레인점 시험방법|2019-12-18|2019-0483|바이오화학서비스표준과|지민호|
620|KS L ISO7884-8|유리 ─ 점도 및 점성 특성점－제8부：팽창 전이 온도 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
621|KS L ISO7991|유리-평균 선형열팽창 계수의 측정|2017-12-01|2017-0560|바이오화학서비스표준과|지민호|
622|KS L ISO8106|유리용기 - 무게법에 의한 용량의 측정 - 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
623|KS L ISO8113|유리용기 - 수직하중 저항성 - 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
624|KS L ISO8289|저전압에 의한 법랑의 결함 탐색방법|2021-08-25|2021-0265|기계융합산업표준과|윤승환|
625|KS L ISO8301|단열 - 정상상태 열 저항 및 관련특성측정 - 열류계 시험장치|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
626|KS L ISO8302|단열 - 정상상태 열 저항 및 관련특성 측정 - 보호열판 시험장치|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
627|KS L ISO835-1|실험실용 유리제품 - 눈금 피펫 - 제1부: 일반적인 요구사항|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
628|KS L ISO835-2|실험실용 유리제품 - 눈금 피펫 - 제2부: 대기시간이 없도록 규정된 피펫|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
629|KS L ISO835-3|실험실용 유리제품 - 눈금 피펫 - 제3부: 대기시간이 15초로 규정된 피펫|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
630|KS L ISO835-4|실험실용 유리제품 - 눈금 피펫 - 제4부: 블로우아웃 피펫|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
631|KS L ISO8486-1|연삭연마재 ─ 입도 측정 및 표기-제1부: 조립 알갱이(F4~F220)|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
632|KS L ISO8486-2|연삭연마재 ─ 입도분포 측정 및 표기-제2부: 미립 알갱이(F230 ~ F2000)|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
633|KS L ISO8497|단열 - 원통형 단열재의 정상상태 열전달 특성 측정|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
634|KS L ISO9285|연마재 ─ 용융알루미나질의 화학 분석 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
635|KS L ISO9385|유리 및 도자기의 누프 경도 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
636|KS L ISO9597|시멘트의 응결 및 안정성 시험방법|2019-12-31|2019-0598|기계융합산업표준과|정현우|
637|KS L ISO9869|단열 - 건물요소 - 열 저항과 열투과율의 현장 측정|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
638|KS L ISO9972|단열 - 건물 기밀성 측정 - 팬 가압법|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
639|KS L 1628|미세기포 기술 용어|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
640|KS L ISO385|실험실용 유리제품 — 뷰렛|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
641|KS L ISO603-17|연마 숫돌 — 치수 — 제17부: 스핀들붙이 숫돌(ISO 형식 52)|2017-02-17|2017-0037|기계융합산업표준과|김민우|
642|KS L ISO603-18|연마 숫돌 — 치수 — 제18부: 판유리 엣지가공 연삭기용 숫돌|2017-02-17|2017-0037|기계융합산업표준과|김민우|
643|KS L ISO2421|코팅된 연마재 — 원통형 슬리브|2017-02-17|2017-0037|기계융합산업표준과|김민우|
644|KS _ L_NEW_2016_0682|내화 단열벽돌의 열전도도측정방법-열선직교법과 열선측온저항법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
645|KS _ L_NEW_2016_0683|내화물질의 열전도도 측정방법-열선 평행법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
646|KS _ L_NEW_2016_0684|유리제 약품병|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
647|KS L 9310|질화 알루미늄 분말의 화학분석방법|2017-10-03|2017-0424|바이오화학서비스표준과|지민호|
648|KS L 9300|타이타늄산 바륨 분말의 화학분석방법|2017-10-03|2017-0424|바이오화학서비스표준과|지민호|
