1|KS A 0001|표준서의 서식 및 작성방법|2021-01-11|2021-0002|산업표준혁신과|고정하|
481|KS A 6002-1|옥외광고물 ━ 구성요소 ━ 제1부: 문자|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
482|KS A 6002-2|옥외광고물 ━ 구성요소 ━ 제2부: 색채|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
483|KS A 6002-3|옥외광고물 ━ 구성요소 ━ 제3부: 조명|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
484|KS A 6101|공연장 및 무대의 종류와 공간 ─ 용어|2020-12-14|2020-0447|바이오화학서비스표준과|박정은|
485|KS A 6102|공연장과 공간－용어 (폐지)|2015-12-28|2015-0605|바이오화학서비스표준과|박정은|
486|KS A 6103|무대 시설 ─ 용어|2021-12-27|2021-0633|바이오화학서비스표준과|박정은|
487|KS A 6104|공연 예술 관련 직종의 기능과 역할 ─ 용어|2017-12-29|2017-0690|바이오화학서비스표준과|박정은|
488|KS A 6105|무대 기구의 조작 및 운전 ─ 용어|2017-12-29|2017-0690|바이오화학서비스표준과|박정은|
489|KS A 6107|무대 안전 사고 예방 지침|2018-12-26|2018-0546|바이오화학서비스표준과|박정은|
490|KS A 6108|무대시설의 자체 안전검사|2021-10-25|2021-0487|바이오화학서비스표준과|박정은|
491|KS A 6109|공연장 상부무대시설의 안전 요구사항|2021-10-25|2021-0487|바이오화학서비스표준과|박정은|
492|KS A 6110|무대시설의 설계 및 설치 안전 기준|2020-12-14|2020-0447|바이오화학서비스표준과|박정은|
493|KS A 6111|무대시설의 설치 안전기준 (폐지)|2015-12-28|2015-0605|바이오화학서비스표준과|박정은|
494|KS A 6112|공연장 하부무대시설의 안전성 평가|2021-12-27|2021-0633|바이오화학서비스표준과|박정은|
495|KS A 6113|공연장 하부무대시설의 성능 시험방법|2021-12-27|2021-0633|바이오화학서비스표준과|박정은|
496|KS A 6200|전통문양 분류 체계|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
497|KS A 6201|전통 기와 문양 분류 체계|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
498|KS A 6202|나노물질을 취급하는 작업장 / 연구실의 작업안전지침 (폐지)|2020-12-23|2020-0514|바이오화학서비스표준과|김도수|
499|KS A 6203|나노제품의 안전관리에 관한 지침|2021-10-27|2021-0493|바이오화학서비스표준과|김도수|
500|KS A 7000|관능 검사 용어|2021-10-07|2021-0448|바이오화학서비스표준과|송승용|
501|KS A 7001|관능검사 일반법 (폐지)|2007-11-30|2007-1122|바이오화학서비스표준과|박현영|
502|KS A 7002|관능에 의한 풍미 검사법 (폐지)|2007-11-30|2007-1122|바이오화학서비스표준과|박현영|
503|KS A 7251|가전제품의 개폐장치 접근성|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
504|KS A 7715|LED 도로표지병|2021-12-23|2021-0634|전기전자정보표준과|김원석|
505|KS A 8402|품질경영 및 품질보증 용어 (폐지)|2002-08-20|2002-0873|바이오화학서비스표준과|정권호|
506|KS A 8800|범죄예방 환경설계(CPTED) － 기반표준|2017-09-15|2017-0362|바이오화학서비스표준과|정권호|
507|KS A 9000-1|품질경영 및 품질보증 규격 - 제1부 : 선택 및 사용 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
508|KS A 9000-2|품질경영 및 품질시스템 요소 제2부:서비스에 대한 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
509|KS A 9000-3|품질경영 및 품질시스템 요소 제3부:소재에 대한 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
510|KS A 9000-4|품질경영 및 품질시스템 요소 제4부 : 품질개선에 대한 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
511|KS A 9001:98|품질 시스템 설계, 개발, 제조, 설치 및 부가 써비스에서의 품질보증 모델 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
512|KS A 9002|품질시스템 - 생산, 설치 및 부가서비스에 대한 품질보증 모델 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
513|KS A 9003|품질 시스템 - 최종 검사 및 시험에서의 품질 보증 모델 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
514|KS A 9004-1|품질경영 및 품질시스템 요소 - 제1부 : 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
515|KS A 9004-2|품질경영 및 품질시스템 요소제2부：서비스에 대한 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
516|KS A 9004-3|품질경영 및 품질시스템 요소제3부：소재에 대한 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
517|KS A 9004-4|품질경영 및 품질 시스템 요소 - 제4부:품질개선에 대한 지침 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
518|KS A GD21|국제규격의 지역 또는 국가규격 채택 (폐지)|2005-09-02|2005-0524||김창용|
519|KS A GD61|인증/등록 기관의 심사 및 인증을 위한 일반 요구 사항 (폐지)|2008-12-29|2008-0973|바이오화학서비스표준과|정권호|
520|KS A IEC60300-1|신인성 관리 ― 제1부: 신인성 관리 시스템|2019-12-30|2019-0563|전기전자정보표준과|조형민|
521|KS A IEC60300-2|신인성 관리 - 제2부 : 신인성 관리 지침|2020-12-24|2020-0524|전기전자정보표준과|조형민|
522|KS A IEC60300-3-1|신인성 관리－제3부：적용 지침－제1절：신인성 분석 기법－방법에 대한 지침|2020-12-24|2020-0524|전기전자정보표준과|조형민|
523|KS A IEC60300-3-10|신인성 관리 ― 제3부: 적용 지침 ― 제10절: 보전성|2019-12-30|2019-0563|전기전자정보표준과|조형민|
524|KS A IEC60300-3-11|신인성 관리 ― 제3부: 적용 지침 ― 제11절: 신뢰성 중심 보전|2019-12-30|2019-0563|전기전자정보표준과|조형민|
525|KS A IEC60300-3-12|신인성 관리 ― 제3부: 적용 지침 ― 제12절: 통합 로지스틱 지원|2019-12-30|2019-0563|전기전자정보표준과|조형민|
526|KS A IEC60300-3-14|신인성 관리 — 제3－14부： 응용지침 — 보전 및 보전지원|2018-12-28|2018-0587|전기전자정보표준과|조형민|
527|KS A IEC60300-3-2|신인성 관리 - 제3부 : 적용지침 - 제2절 : 필드로부터의 신인성 데이터 수집|2020-12-24|2020-0524|전기전자정보표준과|조형민|
528|KS A IEC60300-3-3|신인성 관리 — 제3-3부: 적용 지침 — 수명 주기 원가 계산|2021-05-20|2021-0119|전기전자정보표준과|조형민|
529|KS A IEC60300-3-4|신인성 관리 ― 제3부: 적용 지침 ― 제4절: 신인성 요구 사항의 규격에 대한 지침|2019-12-30|2019-0563|전기전자정보표준과|조형민|
530|KS A IEC60300-3-5|신인성 관리 — 제3부： 적용 지침 — 제5장： 신뢰성 시험 조건과 통계적 시험 원칙|2018-12-28|2018-0587|전기전자정보표준과|조형민|
531|KS A IEC60300-3-6|신인성 관리 ― 제3부: 적용 지침 ― 제6절: 신인성의 소프트웨어 측면|2019-12-30|2019-0563|전기전자정보표준과|조형민|
532|KS A IEC60300-3-7|의존성 관리 — 제3부： 사용 지침서 — 제7절： 전자 제품의 신뢰성 스트레스 스크리닝|2018-12-28|2018-0587|전기전자정보표준과|조형민|
533|KS A IEC60300-3-9|신인성 관리 — 제3부: 적용 지침 — 제9절: 기술적 시스템의 리스크 분석|2022-09-02|2022-0282|전기전자정보표준과|조형민|
534|KS A IEC60319|전자 부품의 신뢰성 데이터의 제시 및 설명|2018-12-28|2018-0587|전기전자정보표준과|조형민|
535|KS A IEC60325|방사선 방호기기 - 알파, 베타 및 알파/베타(베타 에너지 >60 keV) 오염측정기와 감시기|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
536|KS A IEC60410|계수값 검사를 위한 샘플링 계획과 절차|2022-09-02|2022-0282|전기전자정보표준과|조형민|
537|KS A IEC60532|방사선 방호기기 ― 고정식 선량률계, 경보 집합체 및 감시기 ― 50 keV에서 7 MeV 사이의 에너지를 갖는 X 및 감마방사선|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
538|KS A IEC60579|방사성 에어로졸 오염계 및 감시기|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
539|KS A IEC60605-2|장비 신뢰성 시험 — 제2장: 시험 주기 설계|2022-09-02|2022-0282|전기전자정보표준과|조형민|
540|KS A IEC60605-3-1|장비 신뢰성 시험 — 제3장: 표준 시험 조건 — 옥내 휴대용 장비 — 저급 시뮬레이션|2022-09-02|2022-0282|전기전자정보표준과|조형민|
541|KS A IEC60605-3-2|장비 신뢰성 시험 — 제3장: 표준 시험 조건 — 기후 변화에 보호되는 장소에 사용하는 고정 장비 — 고급 시뮬레이션|2022-09-02|2022-0282|전기전자정보표준과|조형민|
542|KS A IEC60605-3-3|장비 신뢰성 시험 — 제3장: 표준 시험 조건 — 제3절: 시험 주기 3: 부분적으로 기후 변화에 보호되는 장소에서 사용하는 고정 장비 — 저급 시뮬레이션|2022-09-02|2022-0282|전기전자정보표준과|조형민|
543|KS A IEC60605-3-4|장비 신뢰성 시험 — 제3장: 표준 시험 조건 — 제4절: 시험 주기 4: 비고정 휴대 장비 — 저급 시뮬레이션|2022-09-02|2022-0282|전기전자정보표준과|조형민|
544|KS A IEC60605-3-5|장비 신뢰성 시험 — 제3장: 표준 시험 조건 — 제5절: 시험 주기 5: 지상 이동 장비 — 저급 시뮬레이션|2022-09-02|2022-0282|전기전자정보표준과|조형민|
545|KS A IEC60605-3-6|장비 신뢰성 시험 — 제3장: 표준 시험 조건 — 제6절: 시험 주기 6: 옥외 이동 장비 — 저급 시뮬레이션|2022-09-02|2022-0282|전기전자정보표준과|조형민|
546|KS A IEC60605-4|장비 신뢰성 시험 — 제4부： 지수 분포에 대한 통계적 절차 — 점 추정값, 신뢰 구간, 예측 구간 및 허용 구간|2018-12-28|2018-0587|전기전자정보표준과|조형민|
547|KS A IEC60605-6|장비 신뢰성 시험 — 제6부： 일정 고장률 또는 일정 고장 강도 가정의 타당성에 대한 검정|2018-12-28|2018-0587|전기전자정보표준과|조형민|
548|KS A IEC60706-2|장비 보전성 — 제2부： 설계개발 단계의 보전성 요구조건 및 검토|2018-12-28|2018-0587|전기전자정보표준과|조형민|
549|KS A IEC60706-3|장비 보전성 — 제3부： 데이터의 수집 및 검증과 분석 및 결과제시|2018-12-28|2018-0587|전기전자정보표준과|조형민|
550|KS A IEC60706-5|장비 보전성에 대한 지침 — 제5부： 제4절： 진단시험|2018-12-28|2018-0587|전기전자정보표준과|조형민|
551|KS A IEC60812|고장 모드 및 영향 분석(FMEA)|2018-12-28|2018-0587|전기전자정보표준과|조형민|
552|KS A IEC60846|방사선 방호 계측 장치－베타, 엑스선 및 감마선 주위/방향 선량당량(률)계/감시기 (폐지)|2014-12-26|2014-0940|바이오화학서비스표준과|채송화|
553|KS A IEC60863|신뢰성, 보전성 및 가용성 예측값의 소개|2018-12-28|2018-0587|전기전자정보표준과|조형민|
554|KS A IEC61014|신뢰성 성장 프로그램|2019-12-30|2019-0563|전기전자정보표준과|조형민|
555|KS A IEC61018|비상시 방사선방호 목적의 고준위 베타 및 광자 휴대용 선량계와 선량률계|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
556|KS A IEC61025|결함 나무 분석(FTA)|2018-12-28|2018-0587|전기전자정보표준과|조형민|
557|KS A IEC61070|안정 상태 가용성에 대한 적합 시험 절차|2018-12-28|2018-0587|전기전자정보표준과|조형민|
558|KS A IEC61078|신인성 분석 기법 — 신뢰성 블록 다이어그램(RBD) 방법|2022-09-02|2022-0282|전기전자정보표준과|조형민|
559|KS A IEC61098|알파 및 베타 방사체용 설치형 개인 표면 오염 감시 장치|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
560|KS A IEC61123|신뢰성 시험－성공비에 대한 적합 시험 계획|2018-12-28|2018-0587|전기전자정보표준과|조형민|
561|KS A IEC61124|신뢰성 시험 — 상수 고장률 및 상수 고장 강도에 대한 적합성 시험|2021-05-20|2021-0119|전기전자정보표준과|조형민|
562|KS A IEC61137|방사선 방호 측정 장치－설치형 개인 표면 오염 감시 장치－저에너지 엑스선 및 감마 방사체 (폐지)|2016-12-20|2016-0521|바이오화학서비스표준과|채송화|
563|KS A IEC61160|설계 검토|2022-09-02|2022-0282|전기전자정보표준과|조형민|
564|KS A IEC61163-1|신뢰성 스트레스 선별 ― 제1부: 로트 제조 수리 가능 조립품|2019-12-30|2019-0563|전기전자정보표준과|조형민|
565|KS A IEC61163-2|신뢰성 스트레스 스크리닝 — 제2부: 전자 부품|2018-12-28|2018-0587|전기전자정보표준과|조형민|
566|KS A IEC61164|신뢰도 성장 - 통계적 검정 및 추정 방법|2021-05-20|2021-0119|전기전자정보표준과|조형민|
567|KS A IEC61165|마코프 기법의 응용|2019-12-30|2019-0563|전기전자정보표준과|조형민|
568|KS A IEC61344|방사선방호 계측기기 - 감시장비 - 엑스선 및 감마선 개인 경보기|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
569|KS A IEC61525|방사선 방호 측정 장치－엑스선, 감마선,고에너지 베타 및 중성자선－직독식 개인 선량 당량 및 선량 당량률 감시기 (폐지)|2016-12-20|2016-0521|바이오화학서비스표준과|채송화|
570|KS A IEC61560|방사선 방호 측정 장치－모피 기타 직물의 비파괴 방사선 시험 장치|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
571|KS A IEC61649|적합도 검정, 와이블 분포 자료에 대한 신뢰 구간 및 신뢰 하한|2018-12-28|2018-0587|전기전자정보표준과|조형민|
572|KS A IEC61650|신뢰성 자료 분석 기법 — 두 일정 고장률과 두 일정 고장(사건) 강도의 비교 절차|2018-12-28|2018-0587|전기전자정보표준과|조형민|
573|KS A IEC61703|신뢰성, 가용성, 보전성 및 보전 지원 용어에 대한 수학적 표현|2019-12-30|2019-0563|전기전자정보표준과|조형민|
574|KS A IEC61709|전자부품 — 신뢰도 — 변환을 위한 고장률 및 스트레스 모델에 대한 기준조건|2022-09-02|2022-0282|전기전자정보표준과|조형민|
575|KS A IEC61710|누승/거듭제곱 법칙 모델－적합도 검정 및 추정 방법|2018-12-28|2018-0587|전기전자정보표준과|조형민|
576|KS A IEC61713|소프트웨어 수명주기 공정을 통한 소프트웨어 신인성 — 적용지침서|2022-09-02|2022-0282|전기전자정보표준과|조형민|
577|KS A IEC61882|위험운전성(HAZOP) — 연구 적용지침|2022-09-02|2022-0282|전기전자정보표준과|조형민|
578|KS A IEC62198|프로젝트 리스크 관리 적용 지침|2019-12-30|2019-0563|전기전자정보표준과|조형민|
579|KS A IEC62308|장비 신뢰성 — 신뢰성 평가 방법|2018-12-28|2018-0587|전기전자정보표준과|조형민|
580|KS A IEC62309|재사용 부품을 포함하는 제품의 신인성－기능 및 시험에 대한 요구 사항|2020-12-24|2020-0524|전기전자정보표준과|조형민|
581|KS A IEC62347|시스템 신인성 표준서에 대한 지침|2018-12-28|2018-0587|전기전자정보표준과|조형민|
582|KS A IEC62402|노화 관리 ― 응용 지침|2019-12-30|2019-0563|전기전자정보표준과|조형민|
583|KS A IEC62429|신뢰성 성장 ― 유일 복합 시스템의 초기 고장 스트레스 시험|2019-12-30|2019-0563|전기전자정보표준과|조형민|
584|KS A IEC62508|시스템 수명주기 적용 인간공학 지침|2019-12-30|2019-0563|전기전자정보표준과|조형민|
585|KS A IEC81714-3|제품의 기술 문서화를 위한 그림 기호의 설계 - 제3부 : 컨넥트 노드, 네트워크의 분류와 엔코딩 (폐지)|2007-11-26|2007-1008|기계융합산업표준과|김민우|
586|KS A IEC82045-1|문서 관리 ― 제1부: 원칙 및 방법|2019-12-31|2019-0595|기계융합산업표준과|김민우|
587|KS A ISO/IECGUIDE41|포장에 대한 권고 사항|2021-10-18|2021-0474|바이오화학서비스표준과|지민호|
588|KS A ISO/IECGUIDE74|그래픽 심볼 ─ 소비자의 요구를 반영하기 위한 기술 지침|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
589|KS A ISO/IECGUIDE76|서비스 표준 개발 - 소비자 이슈 조치 시 권고사항|2019-11-27|2019-0405|바이오화학서비스표준과|정권호|
590|KS A ISO/PAS22399|사회안전(Societal security) – 사고대비 및 운영연속성관리 가이드라인|2021-06-29|2021-0164|바이오화학서비스표준과|정권호|
591|KS A ISO1000|국제단위계(SI)그 사용법 (폐지)|2012-08-29|2012-0395|기계융합산업표준과|양승배|
592|KS A ISO1007|135치수 필름과 매거진|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
593|KS A ISO10075|인간 공학 ― 정신적 작업 부하에 관한 원칙 ― 용어 및 정의|2022-08-25|2022-0257|바이오화학서비스표준과|지민호|
594|KS A ISO1008|사진 인화지의 치수|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
595|KS A ISO1009|사진 — 롤 인화지의 치수|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
596|KS A ISO1012|사진용 일반 시트 및 롤 필름의 치수|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
597|KS A ISO10135|제품의 형상 명세(GPS) ― 제품의 기술 문서(TDP)에서 주형 부품에 대한 도면 지시|2019-12-24|2019-0519|기계융합산업표준과|김민우|
598|KS A ISO10157|사진 — 플래시 노출계 — 조건|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
599|KS A ISO10209|제품의 기술 문서(TPD) － 어휘 － 제도, 제품 정의 및 관련 문서에 관한 용어|2020-12-29|2020-0572|기계융합산업표준과|김민우|
600|KS A ISO10209-1|공업제품의 문서화 -어휘-제1부:제도에 관련된 용어:도면의 일반사항 및 형식 (폐지)|2015-07-31|2015-0299|기계융합산업표준과|김민우|
601|KS A ISO10209-2|공업제품의 문서화 -어휘-제2부:투상 방법에 관한 용어 (폐지)|2015-07-31|2015-0299|기계융합산업표준과|김민우|
602|KS A ISO10276|원자력에너지 - 핵연료기술 - 방사성물질 운반에 사용되는 용기의 인양고리|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
603|KS A ISO10356|영화 기술 — 영화용 질산 필름의 보관과 취급|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
604|KS A ISO1039|영화 기술－영화 필름과 자기 필름 롤의 코어－치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
605|KS A ISO10551|열환경의 인간 공학－주관적 판단 척도를 사용한 열환경의 영향 평가|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
606|KS A ISO10578|제도 — 자세 및 위치의 공차 표시 방법 — 돌출 공차 영역 (폐지)|2013-12-23|2013-0027|기계융합산업표준과|김민우|
607|KS A ISO10628|프로세스 플랜트용 공정도 ― 일반 규칙 (폐지)|2020-12-29|2020-0573|기계융합산업표준과|김민우|
608|KS A ISO10645|원자력에너지 ― 경수로 ― 핵연료 붕괴 열출력 계산|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
609|KS A ISO10648-1|오염 방지 엔클로저－제1부：설계 원칙|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
610|KS A ISO10648-2|오염 방지 엔클로저－제2부：누출 정도와 검사 방법에 따른 분류|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
611|KS A ISO10977|사진 - 현상된 사진 컬러 필름 및 인화지 출력물 - 이미지 안정성 측정방법 (폐지)|2009-10-23|2009-0648|바이오화학서비스표준과|박정은|
612|KS A ISO10979|원자력발전소 핵연료집합체의 식별|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
613|KS A ISO10980|농도 측정에 사용되는 기준 용약의 농도 검증|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
614|KS A ISO1101|제품의 형상 명세(GPS) — 기하 공차 — 형상, 자세, 위치 및 흔들림 공차|2021-12-15|2021-0593|기계융합산업표준과|김민우|
615|KS A ISO11320|핵임계 안전 ― 비상대비 절차 및 대응|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
616|KS A ISO11399|열환경의 인간공학－관련 규격의 원칙과 적용|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
617|KS A ISO11428|인간공학-시각적 위험신호-일반적인 요구사항, 설계와 평가|2018-12-31|2018-0592|바이오화학서비스표준과|지민호|
618|KS A ISO11429|인간공학-청각적ㆍ시각적 위험 신호와 정보 신호의 체계|2018-12-31|2018-0592|바이오화학서비스표준과|지민호|
619|KS A ISO11442|제품의 기술 문서(TPD) — 문서 관리|2019-12-31|2019-0595|기계융합산업표준과|김민우|
620|KS A ISO11442-1|공업 제품의 문서화－컴퓨터 기반 기술 정보의 취급－제1부：보안 요구 사항 (폐지)|2013-08-06|2013-0328|기계융합산업표준과|김민우|
621|KS A ISO11442-2|공업 제품의 문서화－컴퓨터 기반 기술 정보의 취급－제2부：원본 문서 (폐지)|2013-08-06|2013-0328|기계융합산업표준과|김민우|
622|KS A ISO11442-3|공업 제품의 문서화－컴퓨터 기반 기술 정보의 취급－제3부：제품 설계 프로세스의 절차 (폐지)|2013-08-06|2013-0328|기계융합산업표준과|김민우|
623|KS A ISO11442-4|공업 제품의 문서화－컴퓨터 기반 기술 정보의 취급－제4부：문서 관리 및 검색 시스템 (폐지)|2013-08-06|2013-0328|기계융합산업표준과|김민우|
624|KS A ISO11442-5|공업 제품의 문서화－컴퓨터 기반 기술 정보의 취급－제5부：개발 단계의 개념 설계에서의 문서화 (폐지)|2013-08-06|2013-0328|기계융합산업표준과|김민우|
625|KS A ISO11599|방사성폐기물을 포함하는 수경성 고화체의 기체 공극률 및 기체투과율 결정|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
626|KS A ISO1188|영화 기술－영화용 16 mm 전면 자기 녹음 필름의 녹음 특성－제원|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
627|KS A ISO1189|영화 기술－35 mm 영화용 필름에 녹음하는 자기 사운드의 녹음 특성－상영용 프린트 제외－규격|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
628|KS A ISO11929|전리 방사선 측정을 위한 특성한계(결정 문턱값, 검출 한계 및 신뢰구간 한계)의 결정 ― 원리와 적용|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
629|KS A ISO11929-1|전리 방사선 측정을 위한 검출 한계 및 결정 준위의 결정－제1부：시료 처리의 영향이 없는 계수 측정의 원리와 응용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
630|KS A ISO11929-2|전리 방사선 측정을 위한 검출 한계 및 결정 준위의 결정－제2부：시료 처리의 영향이 있는 계수 측정의 원리와 응용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
631|KS A ISO11929-3|전리 방사선 측정을 위한 검출 한계 및 결정 준위의 결정－제3부：시료 처리의 영향이없는 고분해능 감마 분광 분석에 의한 계수 측정의 원리와 응용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
632|KS A ISO11929-4|전리 방사선 측정을 위한 검출 한계 및 결정 준위의 결정－제4부：시료 처리의 영향이 없는 선형 아날로그 선량계를 사용한 측정의 원리와 응용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
633|KS A ISO11929-5|전리 방사선 측정을 위한 검출한계 및 결정준위의 결정- 제5부: 방사성 물질을 축적하는 동안 필터에 대한 계수 측정 원리와 적용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
634|KS A ISO11929-6|전리 방사선 측정을 위한 검출한계 및 결정준위의 결정 - 제6부: 과도 상태 사용에 의한 측정 원리와 적용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
635|KS A ISO11929-7|전리 방사선 측정을 위한 검출 한계 및 결정준위의 결정 - 제7부: 원리와 일반 적용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
636|KS A ISO11929-8|전리 방사선 측정을 위한 검출한계 및 결정준위의 결정 - 제8부: 시료처리의 영향이 없는 분광 측정에서 언폴딩 원리와 적용 (폐지)|2014-12-31|2014-0962|바이오화학서비스표준과|채송화|
637|KS A ISO11932|비방사성 폐기물로서 재순화, 재상용 혹은 처분을 위한 고형물의 방사능 측정|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
638|KS A ISO11933-1|오염방지 엔클로저 부품 ― 제1부: 장갑/자루 포트, 장갑/자루 포트용 마개, 부착링 및 상호교환장치|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
639|KS A ISO11933-2|오염방지 엔클로저 부품 ― 제2부: 원격집게와 조정기용 장갑, 용접된 자루 및 게이터|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
640|KS A ISO11933-3|오염방지 엔클로저 부품 ― 제3부: 폐기물 드럼용 이송장치 (일반문, 에어락 챔버, 이중문 및 누설방지 연결장치)|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
641|KS A ISO11933-4|오염방지 엔클로저 부품 - 제4부 환기 및 가스정화시스템(여과기, 트랩, 안전밸브, 조정밸브, 제어장치, 보호장치)|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
642|KS A ISO11933-5|오염방지 엔클로저 부품 - 제5부 : 전기 회로 및 유체 회로용 관통부|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
643|KS A ISO11934|X선 및 r선- 간접 혹은 직접 판독 콘덴서형 포켓 선량계|2020-12-23|2020-0513|바이오화학서비스표준과|채송화|
644|KS A ISO1222|사진 ㅡ 삼각대 연결부|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
645|KS A ISO12222|영화 기술 — 16 mm, 35 mm 및 65 mm 영화용 필름 제조사의 이미지 정보 — 규격 및 치수|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
646|KS A ISO1223|영화 기술 ― 텔레비전용 영화의 이미지 영역－위치와 폭의 치수|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
647|KS A ISO12231|사진 ─ 전자식 정지 영상 이미지 ─ 용어|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
648|KS A ISO12232|사진 — 디지털 스틸 카메라 — 노출 지수, KS 감광도, 표준 출력 감도, 권장 노출 지수의 결정|2020-12-28|2020-0540|바이오화학서비스표준과|박정은|
649|KS A ISO12233|사진-전자식 정지 영상 카메라-해상도 측정|2018-11-20|2018-0435|바이오화학서비스표준과|박정은|
650|KS A ISO12234-1|디지털 사진 이미지 — 이동식 메모리 — 제1부: 기본적인 이동식 메모리 모델|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
651|KS A ISO12234-2|전자식 정지 영상 이미지 ㅡ 이동식 메모리 ㅡ 제2부: TIFF/EP 이미지 데이터 형식|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
652|KS A ISO1230|사진 ─ 전자식 플래시의 가이드 넘버 결정방법|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
653|KS A ISO12606|영화 기술 — 영화와 텔레비전용 자기 오디오 녹음 매체의 관리와 보존|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
654|KS A ISO12608|영화 기술 — 텔레시네 작업공간과 환경|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
655|KS A ISO12611|영화 기술 — 35 mm 자기 마스터 필름의 국제 유통을 위한 오디오 헤드 톤 — 규격과 위치|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
656|KS A ISO12612|영화 기술 — 스프라켓 기반 영화 후반 작업 재료의 교환|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
657|KS A ISO12753-1|컴퍼스－제1부：명칭, 그림 및 상응하는 용어 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|김민우|
658|KS A ISO12753-2|전자식 정지 영상 이미지－이동식 메모리－제2부：TIFF/EP 이미지 데이터 형식 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|김민우|
659|KS A ISO12756|제도용 및 필기용 도구 — 볼 포인트 펜과 롤러 볼펜 — 용어|2019-12-31|2019-0595|기계융합산업표준과|김민우|
